Record ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
6.34299E+17,0,1,1,1,-1,-1,2,1,1,-1,-1,-1,-1,0,2,0,1,1,0,-1,0,1,1,-1,2,2,-2,-1,0,-2
6.34305E+17,-1,-2,-2,-2,-2,-1,0,-1,-1,-2,0,-1,0,-2,1,0,1,1,-2,0,0,1,1,-1,0,1,1,1,-2,-2
6.3431E+17,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
6.3431E+17,1,0,0,0,1,1,2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,2,1,0,1,1
6.34311E+17,0,1,0,0,-2,0,0,0,-1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
6.34314E+17,2,1,1,0,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
6.34315E+17,-1,1,1,1,1,1,0,0,1,0,0,0,-2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1
6.34317E+17,1,0,0,-1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,1,1,-1,-1,1,-1,0,0,0
6.34318E+17,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34318E+17,2,1,2,0,2,2,1,1,0,2,1,0,2,2,2,2,2,2,1,2,2,2,2,1,-1,2,0,1,2,2
6.34323E+17,-1,1,-1,0,1,0,-1,1,1,-1,-2,-2,0,-1,2,1,1,1,1,-2,-2,-2,-1,1,1,-2,-1,0,1,1
6.34323E+17,-1,1,-2,0,1,0,-1,1,1,-1,-2,-2,0,-1,2,1,1,1,1,-2,-2,-2,-1,1,1,-2,-1,0,1,1
6.34324E+17,-1,1,-2,0,1,0,-1,1,1,-1,-2,-2,0,-1,2,1,1,1,1,-2,-2,-2,-1,1,1,-2,-1,0,1,1
6.34324E+17,2,1,0,-1,-2,0,2,1,0,-1,-2,0,,2,1,0,-1,-2,0,2,1,0,-1,-2,0,2,1,-1,,-2
6.34324E+17,1,1,1,-1,1,1,1,-1,-2,-1,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
